1-4,Amrit,Amala,Achari
5-8,Ashok,Asha,Banerjee
9-12,Chand,Chandra,Bhatnagar
13-16,Dinesh,Devika,Bose
17-20,Gobind,Esha,Chauhan
21-24,Harinder,Gita,Chopra
25-28,Jagdish,Indira,Das
29-32,Johar,Indrani,Dutta
33-36,Kurien,Jaya,Gupta
37-40,Lakshman,Jayanti,Johar
41-44,Madhav,Kiri,Kapoor
45-48,Mahinder,Lalita,Mahajan
49-52,Mohal,Malati,Malhotra
53-56,Narinder,Mira,Mehra
57-60,Nikhil,Mohana,Nehru
61-64,Omrao,Neela,Patil
65-68,Prasad,Nita,Rao
69-72,Pratap,Rajani,Saxena
73-76,Ranjit,Sarala,Shah
77-80,Sanjay,Sarika,Sharma
81-84,Shankar,Sheela,Singh
85-88,Thakur,Sunita,Trivedi
89-92,Vijay,Trishna,Venkatesan
93-96,Vipul,Usha,Verma
97-100,Yash,Vasanta,Yadav
