1-4,Aleksandr,Aleksandra,Abelev
5-8,Andrei,Anastasia,Bobrikov
9-12,Arkady,Anja,Chemerkin
13-16,Boris,Catarina,Gogunov
17-20,Dmitri,Devora,Gurov
21-24,Dominik,Dima,Iltchenko
25-28,Grigory,Ekaterina,Kavelin
29-32,Igor,Eva,Komarov
33-36,Ilya,Irina,Korovin
37-40,Ivan,Karolina,Kurnikov
41-44,Kiril,Katlina,Lebedev
45-48,Konstantin,Kira,Litvak
49-52,Leonid,Ludmilla,Mekhdiev
53-56,Nikolai,Mara,Muraviov
57-60,Oleg,Nadezdha,Nikitin
61-64,Pavel,Nastassia,Ortov
65-68,Petr,Natalya,Peshkov
69-72,Sergei,Oksana,Romasko
73-76,Stepan,Olena,Shvedov
77-80,Valentin,Olga,Sikorski
81-84,Vasily,Sofia,Stolypin
85-88,Viktor,Svetlana,Turov
89-92,Yakov,Tatyana,Volokh
93-96,Yegor,Vilma,Zaitsev
97-100,Yuri,Yelena,Zhukov
